Column1;Column2;Column3;;5;30
0,15;5;-4,6582031;;;
0,15;5;-4,6582031;;;
0,15;5;-4,6582031;;;
0,15;5;-4,6582031;;;
0,15;5;-4,6582031;;;
0,16;5;-4,6582031;;;
0,16;5;-4,6582031;;;
0,16;5;-4,6582031;;;
0,16;5;-4,6582031;;;
0,16;5;-4,6582031;;;
0,17;5;-4,6582031;;;
0,17;5;-4,6582031;;;
0,17;5;-4,6582031;;;
0,17;5;-4,6582031;;;
0,17;5;-4,6582031;;;
0,18;5;-4,6582031;;;
0,18;5;-4,6582031;;;
0,18;5;-4,6582031;;;
0,18;5;-4,6582031;;;
0,18;5;-4,6582031;;;
0,19;5;-4,6582031;;;
0,19;5;-4,6582031;;;
0,19;5;-4,6582031;;;
0,19;5;-4,6582031;;;
0,19;5;-4,6582031;;;
0,19;5;-4,6582031;;;
0,2;5;-4,6582031;;;
0,2;5;-4,6582031;;;
0,2;5;-4,6582031;;;
0,2;5;-4,6582031;;;
0,2;5;-4,6582031;;;
0,2;5;-4,6582031;;;
0,21;5;-4,5703125;;;
0,21;5;-4,5703125;;;
0,21;5;-4,5703125;;;
0,21;5;-4,5703125;;;
0,22;5;-4,5703125;;;
0,22;5;-4,5703125;;;
0,22;5;-4,5703125;;;
0,22;5;-4,5703125;;;
0,22;5;-4,5703125;;;
0,22;5;-4,5703125;;;
0,23;5;-4,5703125;;;
0,23;5;-4,5703125;;;
0,23;5;-4,5703125;;;
0,23;5;-4,5703125;;;
0,23;5;-4,5703125;;;
0,23;5;-4,5703125;;;
0,24;5;-4,5703125;;;
0,24;5;-4,5703125;;;
0,24;5;-4,5703125;;;
0,24;5;-4,5703125;;;
0,24;5;-4,5703125;;;
0,25;5;-4,5703125;;;
0,25;5;-4,5703125;;;
0,25;5;-4,5703125;;;
0,25;5;-4,5703125;;;
0,25;5;-4,5703125;;;
0,26;5;-4,5703125;;;
0,26;5;-4,5703125;;;
0,26;5;-4,5703125;;;
0,26;5;-4,5703125;;;
0,26;5;-4,5703125;;;
0,27;5;-4,5703125;;;
0,27;5;-4,5703125;;;
0,27;5;-4,5703125;;;
0,27;5;-4,5703125;;;
0,27;5;-4,5703125;;;
0,27;5;-4,5703125;;;
0,28;5;-4,5703125;;;
0,28;5;-4,5703125;;;
0,28;5;-4,5703125;;;
0,28;5;-4,5703125;;;
0,28;5;-4,5703125;;;
0,29;5;-4,5703125;;;
0,29;5;-4,5703125;;;
0,29;5;-4,5703125;;;
0,29;5;-4,5703125;;;
0,29;5;-4,5703125;;;
0,29;5;-4,5703125;;;
0,3;5;-4,5703125;;;
0,3;5;-4,5703125;;;
0,3;5;-4,5703125;;;
0,3;5;-4,5703125;;;
0,3;5;-4,5703125;;;
0,31;5;-4,5703125;;;
0,31;5;-4,5703125;;;
0,31;5;-4,5703125;;;
0,31;5;-4,5703125;;;
0,31;5;-4,5703125;;;
0,32;5;-4,5703125;;;
0,32;5;-4,5703125;;;
0,32;5;-4,5703125;;;
0,32;5;-4,5703125;;;
0,32;5;-4,5703125;;;
0,32;5;-4,5703125;;;
0,33;5;-4,5703125;;;
0,33;5;-4,5703125;;;
0,33;5;-4,5703125;;;
0,33;5;-4,5703125;;;
0,33;5;-4,5703125;;;
0,34;5;-4,5703125;;;
0,34;5;-4,5703125;;;
0,34;5;-4,5703125;;;
0,34;5;-4,5703125;;;
0,34;5;-4,5703125;;;
0,35;5;-4,5703125;;;
0,35;5;-4,5703125;;;
0,35;5;-4,5703125;;;
0,35;5;-4,4824219;;;
0,35;5;-4,5703125;;;
0,35;5;-4,5703125;;;
0,36;5;-4,5703125;;;
0,36;5;-4,5703125;;;
0,36;5;-4,5703125;;;
0,36;5;-4,5703125;;;
0,36;5;-4,5703125;;;
0,37;5;-4,4824219;;;
0,37;5;-4,5703125;;;
0,37;5;-4,5703125;;;
0,37;5;-4,4824219;;;
0,37;5;-4,4824219;;;
0,37;5;-4,5703125;;;
0,38;5;-4,5703125;;;
0,38;5;-4,4824219;;;
0,38;5;-4,5703125;;;
0,38;5;-4,4824219;;;
0,38;5;-4,5703125;;;
0,39;5;-4,4824219;;;
0,39;5;-4,4824219;;;
0,39;5;-4,4824219;;;
0,39;5;-4,4824219;;;
0,4;5;-4,5703125;;;
0,4;5;-4,4824219;;;
0,4;5;-4,5703125;;;
0,4;5;-4,4824219;;;
0,4;5;-4,5703125;;;
0,4;5;-4,4824219;;;
0,4;5;-4,4824219;;;
0,41;5;-4,4824219;;;
0,41;5;-4,4824219;;;
0,41;5;-4,4824219;;;
0,41;5;-4,4824219;;;
0,41;5;-4,4824219;;;
0,42;5;-4,5703125;;;
0,42;5;-4,4824219;;;
0,42;5;-4,5703125;;;
0,42;5;-4,5703125;;;
0,42;5;-4,4824219;;;
0,43;5;-4,5703125;;;
0,43;5;-4,5703125;;;
0,43;5;-4,4824219;;;
0,43;5;-4,5703125;;;
0,43;5;-4,4824219;;;
0,44;5;-4,4824219;;;
0,44;5;-4,4824219;;;
0,44;5;-4,4824219;;;
0,44;5;-4,4824219;;;
0,44;5;-4,5703125;;;
0,45;5;-4,4824219;;;
0,45;5;-4,4824219;;;
0,45;5;-4,4824219;;;
0,45;5;-4,4824219;;;
0,45;5;-4,4824219;;;
0,45;5;-4,4824219;;;
0,46;5;-4,4824219;;;
0,46;5;-4,5703125;;;
0,46;5;-4,4824219;;;
0,46;5;-4,4824219;;;
0,46;5;-4,4824219;;;
0,46;5;-4,4824219;;;
0,47;5;-4,4824219;;;
0,47;5;-4,4824219;;;
0,47;5;-4,4824219;;;
0,47;5;-4,5703125;;;
0,47;5;-4,5703125;;;
0,48;5;-4,4824219;;;
0,48;5;-4,5703125;;;
0,48;5;-4,4824219;;;
0,48;5;-4,4824219;;;
0,48;5;-4,4824219;;;
0,49;5;-4,4824219;;;
0,49;5;-4,5703125;;;
0,49;5;-4,4824219;;;
0,49;5;-4,4824219;;;
0,49;5;-4,4824219;;;
0,5;5;-4,4824219;;;
0,5;5;-4,4824219;;;
0,5;5;-4,4824219;;;
0,5;5;-4,4824219;;;
0,5;5;-4,4824219;;;
0,5;5;-4,4824219;;;
0,51;5;-4,4824219;;;
0,51;5;-4,4824219;;;
0,51;5;-4,4824219;;;
0,51;5;-4,4824219;;;
0,51;5;-4,4824219;;;
0,52;5;-4,4824219;;;
0,52;5;-4,4824219;;;
0,52;5;-4,4824219;;;
0,52;5;-4,4824219;;;
0,52;5;-4,4824219;;;
0,52;5;-4,4824219;;;
0,53;5;-4,4824219;;;
0,53;5;-4,4824219;;;
0,53;5;-4,4824219;;;
0,53;5;-4,4824219;;;
0,53;5;-4,4824219;;;
0,54;5;-4,4824219;;;
0,54;5;-4,4824219;;;
0,54;5;-4,4824219;;;
0,54;5;-4,4824219;;;
0,54;5;-4,4824219;;;
0,55;5;-4,4824219;;;
0,55;5;-4,4824219;;;
0,55;5;-4,4824219;;;
0,55;5;-4,4824219;;;
0,55;5;-4,4824219;;;
0,56;5;-4,4824219;;;
0,56;5;-4,4824219;;;
0,56;5;-4,4824219;;;
0,56;5;-4,4824219;;;
0,56;5;-4,4824219;;;
0,56;5;-4,4824219;;;
0,57;5;-4,4824219;;;
0,57;5;-4,4824219;;;
0,57;5;-4,4824219;;;
0,57;5;-4,4824219;;;
0,57;5;-4,4824219;;;
0,58;5;-4,4824219;;;
0,58;5;-4,4824219;;;
0,58;5;-4,4824219;;;
0,58;5;-4,4824219;;;
0,58;5;-4,4824219;;;
0,58;5;-4,4824219;;;
0,59;5;-4,4824219;;;
0,59;5;-4,4824219;;;
0,59;5;-4,4824219;;;
0,59;5;-4,4824219;;;
0,59;5;-4,4824219;;;
0,6;5;-4,4824219;;;
0,6;5;-4,4824219;;;
0,6;5;-4,4824219;;;
0,6;5;-4,4824219;;;
0,6;5;-4,4824219;;;
0,61;5;-4,4824219;;;
0,61;5;-4,4824219;;;
0,61;5;-4,4824219;;;
0,61;5;-4,4824219;;;
0,61;5;-4,4824219;;;
0,61;5;-4,4824219;;;
0,62;5;-4,4824219;;;
0,62;5;-4,4824219;;;
0,62;5;-4,4824219;;;
0,62;5;-4,4824219;;;
0,62;5;-4,4824219;;;
0,63;5;-4,4824219;;;
0,63;5;-4,4824219;;;
0,63;5;-4,4824219;;;
0,63;5;-4,4824219;;;
0,63;5;-4,4824219;;;
0,63;5;-4,4824219;;;
0,64;5;-4,4824219;;;
0,64;5;-4,4824219;;;
0,64;5;-4,4824219;;;
0,64;5;-4,4824219;;;
0,65;5;-4,4824219;;;
0,65;5;-4,4824219;;;
0,65;5;-4,4824219;;;
0,65;5;-4,4824219;;;
0,65;5;-4,4824219;;;
0,65;5;-4,4824219;;;
0,66;5;-4,4824219;;;
0,66;5;-4,4824219;;;
0,66;5;-4,4824219;;;
0,66;5;-4,4824219;;;
0,66;5;-4,4824219;;;
0,67;5;-4,4824219;;;
0,67;5;-4,4824219;;;
0,67;5;-4,4824219;;;
0,67;5;-4,4824219;;;
0,67;5;-4,4824219;;;
0,67;5;-4,4824219;;;
0,68;5;-4,4824219;;;
0,68;5;-4,4824219;;;
0,68;5;-4,4824219;;;
0,68;5;-4,4824219;;;
0,69;5;-4,4824219;;;
0,69;5;-4,4824219;;;
0,69;5;-4,4824219;;;
0,69;5;-4,4824219;;;
0,69;5;-4,4824219;;;
0,69;5;-4,4824219;;;
0,7;5;-4,4824219;;;
0,7;5;-4,4824219;;;
0,7;5;-4,4824219;;;
0,7;5;-4,4824219;;;
0,7;5;-4,4824219;;;
0,7;5;-4,4824219;;;
0,71;5;-4,4824219;;;
0,71;5;-4,4824219;;;
0,71;5;-4,4824219;;;
0,71;5;-4,4824219;;;
0,71;5;-4,4824219;;;
0,72;5;-4,4824219;;;
0,72;5;-4,4824219;;;
0,72;5;-4,4824219;;;
0,72;5;-4,4824219;;;
0,72;5;-4,4824219;;;
0,73;5;-4,4824219;;;
0,73;5;-4,4824219;;;
0,73;5;-4,4824219;;;
0,73;5;-4,4824219;;;
0,73;5;-4,4824219;;;
0,74;5;-4,4824219;;;
0,74;5;-4,4824219;;;
0,74;5;-4,4824219;;;
0,74;5;-4,4824219;;;
0,74;5;-4,4824219;;;
0,74;5;-4,4824219;;;
0,75;5;-4,4824219;;;
0,75;5;-4,4824219;;;
0,75;5;-4,4824219;;;
0,75;5;-4,4824219;;;
0,75;5;-4,4824219;;;
0,75;5;-4,4824219;;;
0,76;5;-4,4824219;;;
0,76;5;-4,4824219;;;
0,76;5;-4,4824219;;;
0,76;5;-4,4824219;;;
0,76;5;-4,4824219;;;
0,77;5;-4,4824219;;;
0,77;5;-4,4824219;;;
0,77;5;-4,4824219;;;
0,77;5;-4,4824219;;;
0,77;5;-4,4824219;;;
0,78;5;-4,4824219;;;
0,78;5;-4,4824219;;;
0,78;5;-4,4824219;;;
0,78;5;-4,4824219;;;
0,78;5;-4,4824219;;;
0,79;5;-4,4824219;;;
0,79;5;-4,4824219;;;
0,79;5;-4,4824219;;;
0,79;5;-4,4824219;;;
0,79;5;-4,4824219;;;
0,79;5;-4,4824219;;;
0,8;5;-4,4824219;;;
0,8;5;-4,4824219;;;
0,8;5;-4,4824219;;;
0,8;5;-4,4824219;;;
0,8;5;-4,4824219;;;
0,81;5;-4,4824219;;;
0,81;5;-4,4824219;;;
0,81;5;-4,4824219;;;
0,81;5;-4,4824219;;;
0,81;5;-4,4824219;;;
0,81;5;-4,4824219;;;
0,82;5;-4,4824219;;;
0,82;5;-4,4824219;;;
0,82;5;-4,4824219;;;
0,82;5;-4,4824219;;;
0,83;5;-4,4824219;;;
0,83;5;-4,4824219;;;
0,83;5;-4,4824219;;;
0,83;5;-4,4824219;;;
0,83;5;-4,4824219;;;
0,83;5;-4,4824219;;;
0,83;5;-4,4824219;;;
0,84;5;-4,4824219;;;
0,84;5;-4,4824219;;;
0,84;5;-4,4824219;;;
0,84;5;-4,4824219;;;
0,85;5;-4,4824219;;;
0,85;5;-4,4824219;;;
0,85;5;-4,4824219;;;
0,85;5;-4,4824219;;;
0,85;5;-4,4824219;;;
0,86;5;-4,4824219;;;
0,86;5;-4,4824219;;;
0,86;5;-4,4824219;;;
0,86;5;-4,4824219;;;
0,86;5;-4,4824219;;;
0,86;5;-4,4824219;;;
0,87;5;-4,4824219;;;
0,87;5;-4,4824219;;;
0,87;5;-4,4824219;;;
0,87;5;-4,4824219;;;
0,87;5;-4,4824219;;;
0,88;5;-4,4824219;;;
0,88;5;-4,4824219;;;
0,88;5;-4,4824219;;;
0,88;5;-4,4824219;;;
0,88;5;-4,4824219;;;
0,88;5;-4,4824219;;;
0,89;5;-4,4824219;;;
0,89;5;-4,4824219;;;
0,89;5;-4,4824219;;;
0,89;5;-4,4824219;;;
0,89;5;-4,4824219;;;
0,9;5;-4,4824219;;;
0,9;5;-4,4824219;;;
0,9;5;-4,4824219;;;
0,9;5;-4,4824219;;;
0,9;5;-4,4824219;;;
0,9;5;-4,4824219;;;
0,91;5;-4,4824219;;;
0,91;5;-4,4824219;;;
0,91;5;-4,4824219;;;
0,91;5;-4,4824219;;;
0,91;5;-4,4824219;;;
0,92;5;-4,4824219;;;
0,92;5;-4,4824219;;;
0,92;5;-4,4824219;;;
0,92;5;-4,4824219;;;
0,92;5;-4,4824219;;;
0,93;5;-4,4824219;;;
0,93;5;-4,4824219;;;
0,93;5;-4,4824219;;;
0,93;5;-4,4824219;;;
0,93;5;-4,4824219;;;
0,93;5;-4,4824219;;;
0,94;5;-4,4824219;;;
0,94;5;-4,4824219;;;
0,94;5;-4,4824219;;;
0,94;5;-4,4824219;;;
0,94;5;-4,4824219;;;
0,95;5;-4,4824219;;;
0,95;5;-4,4824219;;;
0,95;5;-4,4824219;;;
