#!,Workbook:,Custom,Custom
#!,Para reproducir estos datos: abra el archivo original de Excel, haga clic en el botón *Importar archivo de datos* de la pestaña *Secuencia de datos* de la cinta de opciones y desplácese hasta este archivo.
#!,Para obtener más información, visite http://aka.ms/hackingstem/
25.35,0,-4.7460938000
25.35,0,-4.7460938000
25.35,0,-4.7460938000
25.35,0,-4.7460938000
25.35,0,-4.7460938000
25.36,0,-4.7460938000
25.36,0,-4.7460938000
25.36,0,-4.7460938000
25.36,0,-4.7460938000
25.36,0,-4.7460938000
25.37,0,-4.7460938000
25.37,0,-4.7460938000
25.37,0,-4.7460938000
25.37,0,-4.7460938000
25.37,0,-4.7460938000
25.37,0,-4.7460938000
25.38,0,-4.7460938000
25.38,0,-4.7460938000
25.38,0,-4.7460938000
25.38,0,-4.7460938000
25.38,0,-4.7460938000
25.39,0,-4.7460938000
25.39,0,-4.7460938000
25.39,0,-4.7460938000
25.39,0,-4.7460938000
25.40,0,-4.7460938000
25.40,0,-4.7460938000
25.40,0,-4.7460938000
25.40,0,-4.7460938000
25.40,0,-4.7460938000
25.40,0,-4.7460938000
25.41,0,-4.7460938000
25.41,0,-4.7460938000
25.41,0,-4.7460938000
25.41,0,-4.7460938000
25.42,0,-4.7460938000
25.42,0,-4.7460938000
25.42,0,-4.7460938000
25.42,0,-4.7460938000
25.42,0,-4.7460938000
25.42,0,-4.7460938000
25.43,0,-4.7460938000
25.43,0,-4.7460938000
25.43,0,-4.7460938000
25.43,0,-4.7460938000
25.43,0,-4.7460938000
25.44,0,-4.7460938000
25.44,0,-4.7460938000
25.44,0,-4.7460938000
25.44,0,-4.7460938000
25.44,0,-4.7460938000
25.45,0,-4.7460938000
25.45,0,-4.7460938000
25.45,0,-4.7460938000
25.45,0,-4.7460938000
25.45,0,-4.7460938000
25.46,0,-4.7460938000
25.46,0,-4.7460938000
25.46,0,-4.7460938000
25.46,0,-4.7460938000
25.46,0,-4.7460938000
25.46,0,-4.7460938000
25.47,0,-4.7460938000
25.47,0,-4.7460938000
25.47,0,-4.7460938000
25.47,0,-4.7460938000
25.48,0,-4.7460938000
25.48,0,-4.7460938000
25.48,0,-4.7460938000
25.48,0,-4.7460938000
25.48,0,-4.7460938000
25.48,0,-4.7460938000
25.49,0,-4.7460938000
25.49,0,-4.7460938000
25.49,0,-4.7460938000
25.49,0,-4.7460938000
25.50,0,-4.7460938000
25.50,0,-4.7460938000
25.50,0,-4.7460938000
25.50,0,-4.7460938000
25.50,0,-4.7460938000
25.50,0,-4.7460938000
25.51,0,-4.7460938000
25.51,0,-4.7460938000
25.51,0,-4.7460938000
25.51,0,-4.7460938000
25.51,0,-4.7460938000
25.52,0,-4.7460938000
25.52,0,-4.7460938000
25.52,0,-4.7460938000
25.52,0,-4.7460938000
25.52,0,-4.7460938000
25.53,0,-4.7460938000
25.53,0,-4.7460938000
25.53,0,-4.7460938000
25.53,0,-4.7460938000
25.53,0,-4.7460938000
25.54,0,-4.7460938000
25.54,0,-4.7460938000
25.54,0,-4.7460938000
25.54,0,-4.7460938000
25.54,0,-4.7460938000
25.55,0,-4.7460938000
25.55,0,-4.7460938000
25.55,0,-4.7460938000
25.55,0,-4.7460938000
25.55,0,-4.7460938000
25.55,0,-4.7460938000
25.56,0,-4.7460938000
25.56,0,-4.7460938000
25.56,0,-4.7460938000
25.56,0,-4.7460938000
25.57,0,-4.7460938000
25.57,0,-4.7460938000
25.57,0,-4.7460938000
25.57,0,-4.7460938000
25.57,0,-4.7460938000
25.57,0,-4.7460938000
25.58,0,-4.7460938000
25.58,0,-4.7460938000
25.58,0,-4.7460938000
25.58,0,-4.7460938000
25.58,0,-4.7460938000
25.59,0,-4.7460938000
25.59,0,-4.7460938000
25.59,0,-4.7460938000
25.59,0,-4.7460938000
25.59,0,-4.7460938000
25.60,0,-4.7460938000
25.60,0,-4.7460938000
25.60,0,-4.7460938000
25.60,0,-4.7460938000
25.60,0,-4.7460938000
25.61,0,-4.7460938000
25.61,0,-4.7460938000
25.61,0,-4.7460938000
25.61,0,-4.7460938000
25.61,0,-4.7460938000
25.62,0,-4.7460938000
25.62,0,-4.7460938000
25.62,0,-4.7460938000
25.62,0,-4.7460938000
25.62,0,-4.7460938000
25.63,0,-4.7460938000
25.63,0,-4.7460938000
25.63,0,-4.7460938000
25.63,0,-4.7460938000
25.63,0,-4.7460938000
25.63,0,-4.7460938000
25.64,0,-4.7460938000
25.64,0,-4.7460938000
25.64,0,-4.7460938000
25.64,0,-4.7460938000
25.65,0,-4.7460938000
